CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
96,Male,30,97,38
16,Female,33,33,72
31,Male,25,31,82
159,Female,48,26,11
129,Male,60,39,38
116,Male,48,65,31
70,Male,34,91,57
171,Female,43,42,59
175,Male,43,51,41
46,Female,43,66,72
67,Male,44,83,70
183,Male,37,53,54
166,Male,29,54,40
79,Female,27,71,63
187,Male,44,47,50
178,Female,36,49,53
57,Female,39,72,83
153,Male,64,40,34
83,Male,33,82,24
69,Male,28,98,69
125,Male,38,26,37
17,Male,24,23,91
149,Female,42,44,16
94,Male,40,74,36
66,Female,40,66,65
61,Female,27,83,58
85,Female,54,72,12
68,Male,37,83,65
126,Female,38,34,38
133,Male,62,42,25
10,Female,32,35,69
19,Male,25,18,84
56,Male,27,78,79
76,Female,32,93,55
151,Male,53,38,30
105,Female,54,64,15
136,Male,56,16,11
138,Male,50,35,33
165,Male,44,52,41
77,Female,35,65,65
80,Female,39,89,87
198,Male,38,40,41
39,Female,33,22,75
25,Male,22,32,82
123,Female,57,33,37
196,Male,46,52,42
30,Male,18,18,68
20,Female,23,20,79
144,Male,43,16,5
87,Female,52,70,39
115,Male,33,85,34
174,Male,48,58,41
6,Female,26,24,66
127,Male,43,28,23
118,Female,34,97,30
74,Female,44,73,74
141,Male,51,16,22
99,Female,39,83,30
173,Female,36,55,59
97,Female,30,64,7
170,Female,39,41,50
98,Male,52,66,31
32,Female,32,29,62
13,Male,29,34,86
36,Male,34,20,69
120,Male,51,60,28
43,Male,31,60,58
190,Female,43,47,42
91,Female,51,95,12
137,Female,59,16,20
52,Female,34,70,81
128,Female,43,22,39
163,Female,49,56,49
42,Male,33,92,66
119,Female,40,78,27
114,Female,42,60,25
27,Female,31,34,87
140,Female,57,41,32
101,Female,54,91,16
112,Female,42,86,15
3,Female,21,17,78
78,Female,31,64,78
47,Male,34,77,60
188,Male,32,43,59
192,Male,34,55,52
86,Female,45,71,26
162,Female,44,46,49
37,Male,34,36,61
191,Female,29,51,58
62,Male,37,63,81
23,Female,31,35,75
142,Male,61,22,12
102,Male,42,80,20
34,Male,19,28,87
12,Female,19,39,75
195,Female,35,42,45
160,Female,42,23,32
7,Female,31,31,74
28,Female,26,32,69
121,Female,43,39,13
5,Male,26,18,89
33,Female,27,30,79
143,Male,54,32,38
146,Male,37,40,8
110,Male,44,97,7
145,Male,62,30,36
11,Male,20,33,84
63,Male,40,61,61
113,Female,43,71,38
147,Male,47,42,29
167,Female,39,53,50
1,Male,19,34,82
199,Male,43,56,48
154,Female,58,26,29
71,Male,30,79,78
124,Male,57,33,15
65,Female,38,64,61
45,Female,39,66,86
164,Female,30,56,51
29,Female,27,26,77
41,Male,44,86,69
109,Male,50,65,20
156,Male,48,29,10
157,Male,53,21,16
26,Male,32,19,88
24,Male,32,24,91
185,Female,43,46,54
148,Female,60,40,33
82,Male,54,69,13
40,Female,20,28,77
169,Female,40,41,52
48,Female,29,72,78
95,Male,48,89,18
155,Male,42,22,7
44,Male,40,88,79
139,Female,59,24,39
4,Female,30,34,85
106,Female,53,87,31
54,Male,40,77,80
134,Male,39,23,25
181,Male,28,58,56
179,Female,43,55,58
186,Male,45,55,52
50,Female,31,64,66
81,Female,38,64,26
35,Male,28,15,72
8,Male,27,26,75
111,Male,54,72,9
92,Male,32,80,21
84,Female,37,93,21
177,Female,28,51,40
182,Male,44,42,54
90,Female,33,95,8
9,Male,19,28,91
14,Male,24,26,77
60,Female,38,77,65
172,Female,29,56,48
132,Male,44,24,37
18,Male,19,26,87
73,Male,35,78,83
176,Male,38,52,43
135,Male,48,18,23
168,Female,47,42,59
184,Female,48,55,44
64,Male,28,73,78
55,Female,26,63,70
108,Female,30,88,7
51,Female,32,96,72
197,Female,36,51,40
59,Female,25,90,72
49,Male,37,74,88
89,Female,37,77,38
22,Male,28,32,63
58,Female,35,67,71
161,Male,41,58,57
193,Female,28,47,53
130,Female,61,16,21
38,Male,31,16,89
158,Male,50,25,30
194,Female,25,54,56
2,Female,25,36,63
53,Female,30,91,64
150,Female,52,38,26
131,Female,45,19,11
152,Female,59,31,16
104,Female,36,65,5
100,Male,31,67,14
117,Female,30,98,10
88,Male,34,66,23
75,Male,41,77,64
122,Female,48,21,16
200,Male,49,49,46
21,Female,33,25,65
189,Male,27,58,51
72,Female,33,97,60
107,Female,40,67,35
15,Female,27,18,86
93,Female,30,90,16
180,Female,37,49,44
103,Male,53,60,11
